face_id,event_id,type,dHash
Event_LopTai__0440dcae0d29f79c476f777dcecf3b84__face02,Event_LopTai,near_duplicate,1001100100111000001100000111011001110110010011100111011011111000
Event_LopTai__d83de5cf0dbad7f7db0b605624f53186__face01,Event_LopTai,near_duplicate,0011001100110000011100100101000001010000010001000110111000111000
Event_LopTai__ca5564263a20ff877eb2945e33296c30__face01,Event_LopTai,near_duplicate,1001000000110010001100011001000110000000000011000000110010010000
Event_LopTai__cba37bce116e07e0388c934cfbce521c__face01,Event_LopTai,near_duplicate,0001001100110000011100100101000001010000010001000100111001101000
Event_LopTai__b936793c7b55d14c76866d6d05e00988__face11,Event_LopTai,near_duplicate,0011101101110001111100011011000010110100110001001100110011100001
Event_LopTai__01ebbe8e5e3ee2a0ec202e1576dcadb4__face11,Event_LopTai,near_duplicate,0111011011110010111110011111010110010100110101001101110011111001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face01,Event_LopTai,near_duplicate,0011011101110011111100011011010110110101110001001001010111000001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face04,Event_LopTai,near_duplicate,0111011011110010111110001011010010010100100101001001010111010001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face05,Event_LopTai,near_duplicate,0011011101100011111100011111010011010100110101000101100101110000
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face06,Event_LopTai,near_duplicate,0111001011110011111100011011010011010100110111001101110011111001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face08,Event_LopTai,near_duplicate,0011000111100001111000001011000110000000110000011100100111100011
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face10,Event_LopTai,near_duplicate,0011001101110001011100001111010011001100110011001101010001100001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face11,Event_LopTai,near_duplicate,1011000111111000011100001111000011110100110111000101010001111000
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face14,Event_LopTai,near_duplicate,0001101011111000110110001001011010110100110011001100010001101000
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face15,Event_LopTai,near_duplicate,1111011011110001111100011111000111010100110111001101110011111001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face20,Event_LopTai,near_duplicate,0001111101100011111000011011010011110100110101000111110001111001
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face22,Event_LopTai,near_duplicate,0001011101110111011110001111001011110000110101001101010001111000
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face26,Event_LopTai,near_duplicate,1000001011000000110100001001000010000100110011001100010011100010
Event_LopTai__c302a168d949b6a50b20911ccd353d6e__face46,Event_LopTai,near_duplicate,0001111101100011110100011001000110010001100011001000010010001011
Event_LopTai__580a34179f547f2ef5589566a36766b1__face03,Event_LopTai,exact_duplicate,0011001101110001011100010111010011110100110101001101010001111000
Event_LopTai__580a34179f547f2ef5589566a36766b1__face05,Event_LopTai,near_duplicate,0111001011110011111110011111010111010100110111001101110011111001
Event_LopTai__580a34179f547f2ef5589566a36766b1__face09,Event_LopTai,near_duplicate,0000011111110001110100011011010110010101100011011100011100101010
Event_LopTai__580a34179f547f2ef5589566a36766b1__face11,Event_LopTai,exact_duplicate,1011011101110011111100001111011011010110110111001101110001111000
Event_LopTai__580a34179f547f2ef5589566a36766b1__face20,Event_LopTai,near_duplicate,0011001101110001011100000111010011001100110011001101110001100001
Event_LopTai__580a34179f547f2ef5589566a36766b1__face32,Event_LopTai,near_duplicate,0100000001000000110011001001000010010100100001001000010010000000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face01,Event_LopTai,near_duplicate,0011001101110001011000010111010011111100110111001101010001111000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face09,Event_LopTai,near_duplicate,0011001101110001111100011011010110010100110001001100010111100001
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face11,Event_LopTai,near_duplicate,1011011101110011111101001111011011011110110111101101110001111000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face13,Event_LopTai,near_duplicate,0011011101100111111010101111001011110000110111001101010011111000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face21,Event_LopTai,near_duplicate,1111011011110001111100011111010111010100110101001101010011011000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face24,Event_LopTai,near_duplicate,0011000111100001111000011011000110000001110000011100000111100001
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face25,Event_LopTai,near_duplicate,1100110011110010111110001110010010110100110101001101110011111000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face28,Event_LopTai,near_duplicate,0101001001000000110011001001000010010100100101001000010011000000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face33,Event_LopTai,near_duplicate,1111010011110010111110001010110010110100100101001001110011011000
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face37,Event_LopTai,near_duplicate,1011010011110000111100001111010010011101100101001101110011111001
Event_LopTai__d496b5ec5a4ef0e17cce6fac4a84682c__face38,Event_LopTai,near_duplicate,0011011101110011111100010111010101011100111101000101110000111000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face02,Event_LopTai,near_duplicate,1011011101110011111101011111011011010110110111001101110001111000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face07,Event_LopTai,near_duplicate,0111011011110000111100011111010111010100110111001101110011111000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face09,Event_LopTai,near_duplicate,0111011011110010111100011111010111010100110111001101110011111001
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face11,Event_LopTai,near_duplicate,0100111111100011111000011011010010110110110111001100110011110001
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face19,Event_LopTai,near_duplicate,0100010001000100100011001001001010010100100001001000010011000000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face20,Event_LopTai,near_duplicate,0011011101111010111100001111000011110001110111001101110011111000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face21,Event_LopTai,near_duplicate,0111101011111010111101001011010010110100100101001001110011111000
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face25,Event_LopTai,near_duplicate,0000111101111001110000011001010110010100010011010000110100111011
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face31,Event_LopTai,near_duplicate,0001111001111110011101100101111001010110010111100101111000111100
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face33,Event_LopTai,near_duplicate,1111000011111000111101001011010011011100110101001101110011111001
Event_LopTai__f732a98a313051ea1353fd4172c3c871__face40,Event_LopTai,near_duplicate,0111000001110000011100001011010010010000110111001101110011101001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face04,Event_LopTai,near_duplicate,0111011011110010111100011111010111010100110111001101110011111001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face08,Event_LopTai,near_duplicate,1011011011110010111100011111000111010000110111001101110011110001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face09,Event_LopTai,near_duplicate,0111001101110001111100011111010111010100100001001001010111100001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face11,Event_LopTai,near_duplicate,1111011011110010111001011010010010110100110101101101110011111001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face12,Event_LopTai,near_duplicate,0000000001000100110011001001000010010100100001001000010011000000
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face14,Event_LopTai,near_duplicate,1011011101110011111101011111010011010110110111001101110011111000
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face16,Event_LopTai,exact_duplicate,0011011001110011111100011011010110110101110001001100110111100001
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face21,Event_LopTai,near_duplicate,0011101111111001110000011011010110110100110011010100110100111011
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face26,Event_LopTai,near_duplicate,1111000011111000111010001111010011011100110101001101100011110000
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face27,Event_LopTai,near_duplicate,1000001011000000110100001001010010000100110010001100100011100100
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face29,Event_LopTai,near_duplicate,1000111011110000110000001101000010110010100011001100110011001000
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face37,Event_LopTai,near_duplicate,1111000111110001111100001111010011010100110111001101111001110100
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face39,Event_LopTai,near_duplicate,0010001101110001111100011111000011111000110011001100110011101100
Event_LopTai__00d6900ff04e6f83e8a5c21a22b912b0__face44,Event_LopTai,near_duplicate,0111001001110000011100001111010010110100110111001101110011111001
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face01,Event_LopTai,near_duplicate,0000011111011001110010011001001110010101100001011101010111000011
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face02,Event_LopTai,near_duplicate,0001100101111001011100000111010011010100110101001101010001111000
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face04,Event_LopTai,near_duplicate,0111011011110010111100011111010111010100110111001101110011111000
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face06,Event_LopTai,near_duplicate,1011001011110000110101001011010010010100110011001100110011101000
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face08,Event_LopTai,near_duplicate,1011011101110011111101001111010011010110111111001101110001111001
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face09,Event_LopTai,near_duplicate,0111011011110010111100011111010111010100110111001001110011111001
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face10,Event_LopTai,near_duplicate,0011011001110011111100011011010110110101110001011000100111100001
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face11,Event_LopTai,near_duplicate,0011011101110010011110001111000011110000110111001101110011111000
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face12,Event_LopTai,near_duplicate,1011000101111000011110001111001011010000110111000100110001111000
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face13,Event_LopTai,near_duplicate,0011100101111001111001001011010010110100100101001101110011110001
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face16,Event_LopTai,near_duplicate,0000011111110001110010011001010110010101100011011000011100101010
Event_LopTai__cef09c0f5d49774af0818d221b169ae4__face17,Event_LopTai,near_duplicate,0000000001000000110001001001001010010100100001001000010011000000
